Question,Good_answer,Suggested_answer_1,Suggested_answer_2,Suggested_answer_3,,Level,Subthemes,Category,Quizz_ordering
Qui a réalisé Full Metal Jacket ?,Stanley Kubrick,Masaki Kobayashi,Sergio Leone,George Lucas,,,Films 1960-1989,Producteur,3
Qui a réalisé Scarface ?,Brian De Palma,Stanley Kubrick,Sergio Leone,Giuseppe Tornatore,,,Films 1960-1989,Producteur,3
Qui joue Andy Dufresne dans Les Évadés ?,Tim Robbins,Russell Crowe,Daveigh Chase,Choi Min-sik,,,Films 1990-2004,Acteur,1
Qui joue Oskar Schindler dans La liste de Schindler ?,Liam Neeson,Arnold Schwarzenegger,Roberto Benigni,Choi Min-sik,,,Films 1990-2004,Acteur,1
Qui joue Frodo dans Le Seigneur des anneaux - Le Retour du roi ?,Elijah Wood,Tim Robbins,Kevin Spacey,Morgan Freeman,,,Films 1990-2004,Acteur,1
Qui joue Vincent Vega dans Pulp Fiction ?,John Travolta,Choi Min-sik,Liam Neeson,Elijah Wood,,,Films 1990-2004,Acteur,1
Qui joue Frodo dans Le Seigneur des anneaux - La Communauté de l'anneau ?,Elijah Wood,Tim Robbins,Liam Neeson,Choi Min-sik,,,Films 1990-2004,Acteur,2
Qui joue Forrest Gump dans Forrest Gump ?,Tom Hanks,Morgan Freeman,Kevin Spacey,Daveigh Chase,,,Films 1990-2004,Acteur,1
Qui joue Tyler Durden dans Fight Club ?,Brad Pitt,Morgan Freeman,Daveigh Chase,Tim Robbins,,,Films 1990-2004,Acteur,1
Qui joue Frodo dans Le Seigneur des anneaux - Les Deux Tours ?,Elijah Wood,Guy Pearce,Tim Robbins,Robert De Niro,,,Films 1990-2004,Acteur,3
Qui joue Neo dans Matrix ?,Keanu Reeves,Robert De Niro,Matthew Broderick,Tim Robbins,,,Films 1990-2004,Acteur,1
Qui joue James Conway dans Les affranchis ?,Robert De Niro,Daveigh Chase,Matthew Broderick,Tom Hanks,,,Films 1990-2004,Acteur,1
Qui joue Somerset dans Seven ?,Morgan Freeman,Elijah Wood,Mel Gibson,Edward Norton,,,Films 1990-2004,Acteur,2
Qui joue Clarice Starling dans Le Silence des agneaux ?,Jodie Foster,Matthew Broderick,Jean Reno,Tom Hanks,,,Films 1990-2004,Acteur,1
Qui joue Buscapé-Rocket dans La cité de Dieu ?,Alexandre Rodrigues,Brad Pitt,Jean Reno,Tom Hanks,,,Films 1990-2004,Acteur,2
Qui joue Captain Miller dans Il faut sauver le soldat Ryan ?,Tom Hanks,Morgan Freeman,Edward Norton,Matthew Broderick,,,Films 1990-2004,Acteur,2
Qui joue Guido dans La vie est belle ?,Roberto Benigni,Tom Hanks,Elijah Wood,Kevin Spacey,,,Films 1990-2004,Acteur,2
Qui joue Paul Edgecomb dans La ligne verte ?,Tom Hanks,Russell Crowe,Jean Reno,Tim Robbins,,,Films 1990-2004,Acteur,2
Qui joue The Terminator dans Terminator 2 - Le jugement dernier ?,Arnold Schwarzenegger,Tom Hanks,Jean Reno,Tim Robbins,,,Films 1990-2004,Acteur,2
Qui joue Chihiro dans Le voyage de Chihiro ?,Daveigh Chase,Elijah Wood,Brad Pitt,Matthew Broderick,,,Films 1990-2004,Acteur,2
Qui joue Wladyslaw Szpilman dans Le pianiste ?,Adrien Brody,Elijah Wood,Tom Hanks,Jean Reno,,,Films 1990-2004,Acteur,2
Qui joue Leon dans Léon ?,Jean Reno,Tom Hanks,Edward Norton,Choi Min-sik,,,Films 1990-2004,Acteur,2
Qui joue Simba dans Le Roi Lion ?,Matthew Broderick,Tom Hanks,Elijah Wood,Roberto Benigni,,,Films 1990-2004,Acteur,3
Qui joue Maximus dans Gladiator ?,Russell Crowe,Mel Gibson,Jodie Foster,Elijah Wood,,,Films 1990-2004,Acteur,1
Qui joue Derek dans American History X ?,Edward Norton,Matthew Broderick,Tim Robbins,Guy Pearce,,,Films 1990-2004,Acteur,3
Qui joue Verbal dans Usual Suspects ?,Kevin Spacey,Matthew Broderick,Tim Robbins,Tom Hanks,,,Films 1990-2004,Acteur,3
Qui joue Leonard dans Memento ?,Guy Pearce,Elijah Wood,Russell Crowe,Tom Hanks,,,Films 1990-2004,Acteur,3
Qui joue Dae-su Oh dans Old Boy ?,Choi Min-sik,Ryûnosuke Kamiki,Yôji Matsuda,Roberto Benigni,,,Films 1990-2004,Acteur,3
Qui joue William Wallace dans Braveheart ?,Mel Gibson,Alexandre Rodrigues,Tom Hanks,Robert De Niro,,,Films 1990-2004,Acteur,3
Qui joue Woody dans Toy Story ?,Tom Hanks,Elijah Wood,Brad Pitt,Robert De Niro,,,Films 1990-2004,Acteur,3
Qui joue Ashitaka dans Princesse Mononoké ?,Yôji Matsuda,Ryûnosuke Kamiki,Daveigh Chase,Brad Pitt,,,Films 1990-2004,Acteur,3
Qui joue Sean dans Will Hunting ?,Robin Williams,Brad Pitt,Kevin Spacey,Elijah Wood,,,Films 1990-2004,Acteur,4
Qui joue Sara Goldfarb dans Requiem for a Dream ?,Ellen Burstyn,Tom Hanks,Liam Neeson,Matthew Broderick,,,Films 1990-2004,Acteur,4
Qui joue Joel Barish dans Eternal Sunshine of the Spotless Mind ?,Jim Carrey,Kevin Spacey,Morgan Freeman,Russell Crowe,,,Films 1990-2004,Acteur,4
Qui joue Mr. White dans Reservoir Dogs ?,Harvey Keitel,Kevin Spacey,Morgan Freeman,Elijah Wood,,,Films 1990-2004,Acteur,4
Qui joue Amélie Poulain dans Le fabuleux destin d'Amélie Poulain ?,Audrey Tautou,Mélanie Laurent,Isabelle Adjani,Marion Cotillard,,,Films 1990-2004,Acteur,4
Qui joue Lt. Vincent Hanna dans Heat ?,Al Pacino,Kevin Spacey,Robert De Niro,Tom Hanks,,,Films 1990-2004,Acteur,4
Qui joue Jack Vincennes dans L.A. Confidential ?,Kevin Spacey,Robert De Niro,Tim Robbins,Elijah Wood,,,Films 1990-2004,Acteur,4
Qui joue Turkish dans Snatch-Tu braques ou tu raques ?,Jason Statham,Kevin Spacey,Yôji Matsuda,Tom Hanks,,,Films 1990-2004,Acteur,4
Qui joue Adolf Hitler dans La chute ?,Bruno Ganz,Elijah Wood,Matthew Broderick,Kevin Spacey,,,Films 1990-2004,Acteur,4
Qui joue Sam 'Ace' Rothstein dans Casino ?,Robert De Niro,Alexandre Rodrigues,Matthew Broderick,Anthony Gonzalez,,,Films 1990-2004,Acteur,4
En quelle année a été réalisé Les Évadés ?,1994,1995,2004,1998,,,Films 1990-2004,Année,1
En quelle année a été réalisé La liste de Schindler ?,1993,1997,1999,2002,,,Films 1990-2004,Année,1
En quelle année a été réalisé Le Seigneur des anneaux - Le Retour du roi ?,2003,2001,1994,1995,,,Films 1990-2004,Année,1
En quelle année a été réalisé Pulp Fiction ?,1994,1996,2001,2002,,,Films 1990-2004,Année,1
En quelle année a été réalisé Le Seigneur des anneaux - La Communauté de l'anneau ?,2001,2000,1997,2002,,,Films 1990-2004,Année,1
En quelle année a été réalisé Forrest Gump ?,1994,1999,1997,1998,,,Films 1990-2004,Année,1
En quelle année a été réalisé Fight Club ?,1999,2002,1991,2000,,,Films 1990-2004,Année,1
En quelle année a été réalisé Le Seigneur des anneaux - Les Deux Tours ?,2002,1992,2004,1997,,,Films 1990-2004,Année,1
En quelle année a été réalisé Matrix ?,1999,1991,1994,2000,,,Films 1990-2004,Année,1
En quelle année a été réalisé Les affranchis ?,1990,1996,2000,1995,,,Films 1990-2004,Année,1
En quelle année a été réalisé Seven ?,1995,2003,2000,2002,,,Films 1990-2004,Année,2
En quelle année a été réalisé Le Silence des agneaux ?,1991,1997,2003,1992,,,Films 1990-2004,Année,2
En quelle année a été réalisé La cité de Dieu ?,2002,2003,1991,1999,,,Films 1990-2004,Année,2
En quelle année a été réalisé Il faut sauver le soldat Ryan ?,1998,1995,2000,1991,,,Films 1990-2004,Année,2
En quelle année a été réalisé La vie est belle ?,1997,2002,2001,1993,,,Films 1990-2004,Année,2
En quelle année a été réalisé La ligne verte ?,1999,1990,1996,1992,,,Films 1990-2004,Année,2
En quelle année a été réalisé Terminator 2 - Le jugement dernier ?,1991,2002,2003,1992,,,Films 1990-2004,Année,2
En quelle année a été réalisé Le voyage de Chihiro ?,2001,1995,1999,1993,,,Films 1990-2004,Année,2
En quelle année a été réalisé Le pianiste ?,2002,2003,1998,2000,,,Films 1990-2004,Année,2
En quelle année a été réalisé Léon ?,1994,2004,2001,1991,,,Films 1990-2004,Année,2
En quelle année a été réalisé Le Roi Lion ?,1994,1992,2003,2002,,,Films 1990-2004,Année,3
En quelle année a été réalisé Gladiator ?,2000,1991,1995,1992,,,Films 1990-2004,Année,3
En quelle année a été réalisé American History X ?,1998,2004,2003,1992,,,Films 1990-2004,Année,3
En quelle année a été réalisé Usual Suspects ?,1995,2004,2002,2000,,,Films 1990-2004,Année,3
En quelle année a été réalisé Memento ?,2000,1998,1999,1996,,,Films 1990-2004,Année,3
En quelle année a été réalisé American Beauty ?,1999,1992,1991,2004,,,Films 1990-2004,Année,3
En quelle année a été réalisé Old Boy ?,2003,2004,1990,1999,,,Films 1990-2004,Année,3
En quelle année a été réalisé Braveheart ?,1995,1993,2000,2004,,,Films 1990-2004,Année,3
En quelle année a été réalisé Toy Story ?,1995,1997,1998,1990,,,Films 1990-2004,Année,3
En quelle année a été réalisé Princesse Mononoké ?,1997,1993,2004,1991,,,Films 1990-2004,Année,3
En quelle année a été réalisé Will Hunting ?,1997,2001,1992,2003,,,Films 1990-2004,Année,4
En quelle année a été réalisé Requiem for a Dream ?,2000,2001,1992,2004,,,Films 1990-2004,Année,4
En quelle année a été réalisé Eternal Sunshine of the Spotless Mind ?,2004,1990,1995,2003,,,Films 1990-2004,Année,4
En quelle année a été réalisé Reservoir Dogs ?,1992,1991,1990,1997,,,Films 1990-2004,Année,4
En quelle année a été réalisé Le fabuleux destin d'Amélie Poulain ?,2001,1993,1996,1992,,,Films 1990-2004,Année,4
En quelle année a été réalisé Heat ?,1995,1997,1992,1993,,,Films 1990-2004,Année,4
En quelle année a été réalisé L.A. Confidential ?,1997,1999,1992,2000,,,Films 1990-2004,Année,4
En quelle année a été réalisé Snatch-Tu braques ou tu raques ?,2000,1990,2004,1993,,,Films 1990-2004,Année,4
En quelle année a été réalisé La chute ?,2004,1992,2000,2003,,,Films 1990-2004,Année,4
En quelle année a été réalisé Casino ?,1995,2001,1996,1993,,,Films 1990-2004,Année,4
Qui a réalisé Les Évadés ?,Frank Darabont,John Lasseter,Darren Aronofsky,Steven Spielberg,,,Films 1990-2004,Producteur,1
Qui a réalisé La liste de Schindler ?,Steven Spielberg,Peter Jackson,Hayao Miyazaki,Oliver Hirschbiegel,,,Films 1990-2004,Producteur,1
Qui a réalisé Le Seigneur des anneaux - Le Retour du roi ?,Peter Jackson,Hayao Miyazaki,Fernando Meirelles,Mel Gibson,,,Films 1990-2004,Producteur,1
Qui a réalisé Pulp Fiction ?,Quentin Tarantino,Sam Mendes,Tony Kaye,Hayao Miyazaki,,,Films 1990-2004,Producteur,1
Qui a réalisé Le Seigneur des anneaux - La Communauté de l'anneau ?,Peter Jackson,Sam Mendes,Michael Mann,Quentin Tarantino,,,Films 1990-2004,Producteur,1
Qui a réalisé Forrest Gump ?,Robert Zemeckis,Jonathan Demme,Quentin Tarantino,Darren Aronofsky,,,Films 1990-2004,Producteur,1
Qui a réalisé Fight Club ?,David Fincher,Quentin Tarantino,Sam Mendes,Roman Polanski,,,Films 1990-2004,Producteur,1
Qui a réalisé Le Seigneur des anneaux - Les Deux Tours ?,Peter Jackson,Quentin Tarantino,Hayao Miyazaki,Roman Polanski,,,Films 1990-2004,Producteur,1
Qui a réalisé Matrix ?,Lana Wachowski,Roger Allers,Gus Van Sant,Roman Polanski,,,Films 1990-2004,Producteur,1
Qui a réalisé Les affranchis ?,Martin Scorsese,Darren Aronofsky,Steven Spielberg,Hayao Miyazaki,,,Films 1990-2004,Producteur,1
Qui a réalisé Seven ?,David Fincher,Lana Wachowski,Peter Jackson,Hayao Miyazaki,,,Films 1990-2004,Producteur,2
Qui a réalisé Le Silence des agneaux ?,Jonathan Demme,Lana Wachowski,Peter Jackson,Frank Darabont,,,Films 1990-2004,Producteur,2
Qui a réalisé La cité de Dieu ?,Fernando Meirelles,Lana Wachowski,Peter Jackson,Frank Darabont,,,Films 1990-2004,Producteur,2
Qui a réalisé Il faut sauver le soldat Ryan ?,Steven Spielberg,Peter Jackson,Michel Gondry,Frank Darabont,,,Films 1990-2004,Producteur,2
Qui a réalisé La vie est belle ?,Roberto Benigni,Hayao Miyazaki,Frank Darabont,Quentin Tarantino,,,Films 1990-2004,Producteur,2
Qui a réalisé La ligne verte ?,Frank Darabont,Roman Polanski,Hayao Miyazaki,Steven Spielberg,,,Films 1990-2004,Producteur,2
Qui a réalisé Terminator 2 - Le jugement dernier ?,James Cameron,Roberto Benigni,Roman Polanski,Steven Spielberg,,,Films 1990-2004,Producteur,2
Qui a réalisé Le voyage de Chihiro ?,Hayao Miyazaki,Robert Zemeckis,Michel Gondry,Fernando Meirelles,,,Films 1990-2004,Producteur,2
Qui a réalisé Le pianiste ?,Roman Polanski,Steven Spielberg,Ridley Scott,Bryan Singer,,,Films 1990-2004,Producteur,2
Qui a réalisé Léon ?,Luc Besson,Robert Zemeckis,Hayao Miyazaki,Sam Mendes,,,Films 1990-2004,Producteur,2
Qui a réalisé Le Roi Lion ?,Roger Allers,Oliver Hirschbiegel,Hayao Miyazaki,Sam Mendes,,,Films 1990-2004,Producteur,3
Qui a réalisé Gladiator ?,Ridley Scott,Gus Van Sant,Peter Jackson,Steven Spielberg,,,Films 1990-2004,Producteur,3
Qui a réalisé American History X ?,Tony Kaye,John Lasseter,Darren Aronofsky,Park Chan-wook,,,Films 1990-2004,Producteur,3
Qui a réalisé Usual Suspects ?,Bryan Singer,Hayao Miyazaki,Darren Aronofsky,Park Chan-wook,,,Films 1990-2004,Producteur,3
Qui a réalisé Memento ?,Christopher Nolan,Martin Scorsese,John Lasseter,Peter Jackson,,,Films 1990-2004,Producteur,3
Qui a réalisé American Beauty ?,Sam Mendes,Robert Zemeckis,Oliver Hirschbiegel,Hayao Miyazaki,,,Films 1990-2004,Producteur,3
Qui a réalisé Old Boy ?,Park Chan-wook,Quentin Tarantino,Oliver Hirschbiegel,Steven Spielberg,,,Films 1990-2004,Producteur,3
Qui a réalisé Braveheart ?,Mel Gibson,Jonathan Demme,Sam Mendes,Roger Allers,,,Films 1990-2004,Producteur,3
Qui a réalisé Toy Story ?,John Lasseter,Quentin Tarantino,Frank Darabont,Peter Jackson,,,Films 1990-2004,Producteur,3
Qui a réalisé Princesse Mononoké ?,Hayao Miyazaki,Quentin Tarantino,Robert Zemeckis,Michael Mann,,,Films 1990-2004,Producteur,3
Qui a réalisé Will Hunting ?,Gus Van Sant,Jonathan Demme,Hayao Miyazaki,Tony Kaye,,,Films 1990-2004,Producteur,4
Qui a réalisé Requiem for a Dream ?,Darren Aronofsky,Bryan Singer,Robert Zemeckis,Jean-Pierre Jeunet,,,Films 1990-2004,Producteur,4
Qui a réalisé Eternal Sunshine of the Spotless Mind ?,Michel Gondry,Peter Jackson,David Fincher,Luc Besson,,,Films 1990-2004,Producteur,4
Qui a réalisé Reservoir Dogs ?,Quentin Tarantino,Hayao Miyazaki,Mel Gibson,Park Chan-wook,,,Films 1990-2004,Producteur,4
Qui a réalisé Le fabuleux destin d'Amélie Poulain ?,Jean-Pierre Jeunet,Peter Jackson,Martin Scorsese,Mel Gibson,,,Films 1990-2004,Producteur,4
Qui a réalisé Heat ?,Michael Mann,Quentin Tarantino,Steven Spielberg,Mel Gibson,,,Films 1990-2004,Producteur,4
Qui a réalisé L.A. Confidential ?,Curtis Hanson,Oliver Hirschbiegel,Martin Scorsese,Ridley Scott,,,Films 1990-2004,Producteur,4
Qui a réalisé Snatch-Tu braques ou tu raques ?,Guy Ritchie,Tony Kaye,Steven Spielberg,Curtis Hanson,,,Films 1990-2004,Producteur,4
Qui a réalisé La chute ?,Oliver Hirschbiegel,Brian De Palma,Quentin Tarantino,Mel Gibson,,,Films 1990-2004,Producteur,4
Qui a réalisé Casino ?,Martin Scorsese,Roman Polanski,Guy Ritchie,Peter Jackson,,,Films 1990-2004,Producteur,4
Qui joue Bruce Wayne dans The Dark Knight - Le Chevalier noir ?,Christian Bale,Ivana Baquero,Tom Cruise,Ryûnosuke Kamiki,,,Films 2005-2022,Acteur,1
Qui joue Cobb dans Inception ?,Leonardo DiCaprio,Ivana Baquero,Miles Teller,Mads Mikkelsen,,,Films 2005-2022,Acteur,1
Qui joue Cooper dans Interstellar ?,Matthew McConaughey,Shameik Moore,Christian Bale,Payman Maadi,,,Films 2005-2022,Acteur,1
Qui joue Ki Taek dans Parasite ?,Song Kang-ho,Ryûnosuke Kamiki,Christian Bale,Payman Maadi,,,Films 2005-2022,Acteur,1
Qui joue Billy dans Les infiltrés ?,Leonardo DiCaprio,Edward Asner,François Cluzet,Darsheel Safary,,,Films 2005-2022,Acteur,1
Qui joue Alfred Borden dans Le Prestige ?,Christian Bale,Leonardo DiCaprio,Robert Downey Jr.,Payman Maadi,,,Films 2005-2022,Acteur,1
Qui joue Andrew dans Whiplash ?,Miles Teller,Leonardo DiCaprio,Ivana Baquero,François Cluzet,,,Films 2005-2022,Acteur,1
Qui joue Philippe dans Intouchables ?,François Cluzet,Darsheel Safary,Leonardo DiCaprio,Tom Holland,,,Films 2005-2022,Acteur,1
Qui joue Django dans Django Unchained ?,Jamie Foxx,Christian Bale,Joaquin Phoenix,Matthew McConaughey,,,Films 2005-2022,Acteur,1
Qui joue WALL·E dans WALL·E ?,Ben Burtt,Dean-Charles Chapman,Payman Maadi,Viggo Mortensen,,,Films 2005-2022,Acteur,1
Qui joue Hauptmann Gerd Wiesler dans La vie des autres ?,Ulrich Mühe,Tommy Lee Jones,Matthew McConaughey,Song Kang-ho,,,Films 2005-2022,Acteur,2
Qui joue Tony Stark dans Avengers- Infinity War ?,Robert Downey Jr.,Darsheel Safary,Lubna Azabal,Mads Mikkelsen,,,Films 2005-2022,Acteur,2
Qui joue Miles Morales dans Spider-Man- New Generation ?,Shameik Moore,Aamir Khan,Leonardo DiCaprio,Darsheel Safary,,,Films 2005-2022,Acteur,2
Qui joue Bruce Wayne dans The Dark Knight Rises ?,Christian Bale,Robert Downey Jr.,Ulrich Mühe,Lubna Azabal,,,Films 2005-2022,Acteur,2
Qui joue Capt. Pete 'Maverick' Mitchell dans Top Gun- Maverick ?,Tom Cruise,Hugo Weaving,Jamie Foxx,Zain Al Rafeea,,,Films 2005-2022,Acteur,2
Qui joue Arthur Fleck dans Joker ?,Joaquin Phoenix,Mads Mikkelsen,Jamie Foxx,Tom Holland,,,Films 2005-2022,Acteur,2
Qui joue Lt. Aldo Raine dans Inglourious Basterds ?,Brad Pitt,Aamir Khan,Leonardo DiCaprio,Robert Downey Jr.,,,Films 2005-2022,Acteur,2
Qui joue Miguel dans Coco ?,Anthony Gonzalez,Ryûnosuke Kamiki,Jamie Foxx,Leonardo DiCaprio,,,Films 2005-2022,Acteur,2
Qui joue Tony Stark dans Avengers- Endgame ?,Robert Downey Jr.,Mads Mikkelsen,Dean-Charles Chapman,Edward Asner,,,Films 2005-2022,Acteur,2
Qui joue Taki Tachibana dans Your Name. ?,Ryûnosuke Kamiki,Aamir Khan,Matthew McConaughey,Song Kang-ho,,,Films 2005-2022,Acteur,2
Qui joue Woody dans Toy Story 3 ?,Tom Hanks,Matthew McConaughey,Viggo Mortensen,Darsheel Safary,,,Films 2005-2022,Acteur,3
Qui joue Ranchoddas Shamaldas Chanchad (Rancho) dans 3 Idiots ?,Aamir Khan,Lubna Azabal,Leonardo DiCaprio,Christian Bale,,,Films 2005-2022,Acteur,3
Qui joue Zain dans Capharnaüm ?,Zain Al Rafeea,Aamir Khan,Ryûnosuke Kamiki,Miles Teller,,,Films 2005-2022,Acteur,3
Qui joue Lucas dans La chasse ?,Mads Mikkelsen,François Cluzet,Leonardo DiCaprio,Song Kang-ho,,,Films 2005-2022,Acteur,3
Qui joue Alexander Hamilton dans Hamilton ?,Lin-Manuel Miranda,Anthony Gonzalez,Aamir Khan,Joaquin Phoenix,,,Films 2005-2022,Acteur,3
Qui joue Carl Fredricksen dans Là-haut ?,Edward Asner,Ivana Baquero,Aamir Khan,Brad Pitt,,,Films 2005-2022,Acteur,3
Qui joue Nawal Marwan dans Incendies ?,Lubna Azabal,Aamir Khan,Tom Cruise,François Cluzet,,,Films 2005-2022,Acteur,3
Qui joue Nader dans Une séparation ?,Payman Maadi,Aamir Khan,Robert Downey Jr.,Christian Bale,,,Films 2005-2022,Acteur,3
Qui joue Lance Corporal Blake dans 1917 ?,Dean-Charles Chapman,Viggo Mortensen,Leonardo DiCaprio,Tom Cruise,,,Films 2005-2022,Acteur,3
Qui joue Ishaan Awasthi dans Taare Zameen Par ?,Darsheel Safary,Tom Cruise,Viggo Mortensen,Leonardo DiCaprio,,,Films 2005-2022,Acteur,3
Qui joue Bruce Wayne dans Batman Begins ?,Christian Bale,Darsheel Safary,Viggo Mortensen,Joaquin Phoenix,,,Films 2005-2022,Acteur,4
Qui joue Mahavir Singh Phogat dans Dangal ?,Aamir Khan,Darsheel Safary,Lubna Azabal,Matthew McConaughey,,,Films 2005-2022,Acteur,4
Qui joue Anthony dans The Father ?,Anthony Hopkins,Lubna Azabal,François Cluzet,Aamir Khan,,,Films 2005-2022,Acteur,4
Qui joue Tony Lip dans Green Book- Sur les routes du sud ?,Viggo Mortensen,Christian Bale,François Cluzet,Brad Pitt,,,Films 2005-2022,Acteur,4
Qui joue Jordan Belfort dans Le loup de Wall Street ?,Leonardo DiCaprio,Matthew McConaughey,Edward Asner,Aamir Khan,,,Films 2005-2022,Acteur,4
Qui joue Ofelia dans Le labyrinthe de Pan ?,Ivana Baquero,Darsheel Safary,Jamie Foxx,Brad Pitt,,,Films 2005-2022,Acteur,4
Qui joue Peter Parker dans Spider-Man- No Way Home ?,Tom Holland,Christian Bale,Anthony Gonzalez,Matthew McConaughey,,,Films 2005-2022,Acteur,4
Qui joue Teddy Daniels dans Shutter Island ?,Leonardo DiCaprio,Jamie Foxx,Christian Bale,Robert Downey Jr.,,,Films 2005-2022,Acteur,4
Qui joue Ed Tom Bell dans No Country for Old Men ?,Tommy Lee Jones,Brad Pitt,Tom Hanks,Mads Mikkelsen,,,Films 2005-2022,Acteur,4
Qui joue V dans V pour vendetta ?,Hugo Weaving,François Cluzet,Ryûnosuke Kamiki,Zain Al Rafeea,,,Films 2005-2022,Acteur,4
En quelle année a été réalisé The Dark Knight - Le Chevalier noir ?,2008,2018,2020,2017,,,Films 2005-2022,Année,1
En quelle année a été réalisé Inception ?,2010,2006,2011,2015,,,Films 2005-2022,Année,1
En quelle année a été réalisé Interstellar ?,2014,2012,2011,2015,,,Films 2005-2022,Année,1
En quelle année a été réalisé Parasite ?,2019,2015,2014,2008,,,Films 2005-2022,Année,1
En quelle année a été réalisé Les infiltrés ?,2006,2009,2013,2018,,,Films 2005-2022,Année,1
En quelle année a été réalisé Le Prestige ?,2006,2022,2008,2011,,,Films 2005-2022,Année,1
En quelle année a été réalisé Whiplash ?,2014,2008,2016,2017,,,Films 2005-2022,Année,1
En quelle année a été réalisé Intouchables ?,2011,2020,2005,2012,,,Films 2005-2022,Année,1
En quelle année a été réalisé Django Unchained ?,2012,2021,2016,2017,,,Films 2005-2022,Année,1
En quelle année a été réalisé WALL·E ?,2008,2012,2020,2014,,,Films 2005-2022,Année,1
En quelle année a été réalisé La vie des autres ?,2006,2015,2011,2007,,,Films 2005-2022,Année,2
En quelle année a été réalisé Avengers- Infinity War ?,2018,2020,2016,2007,,,Films 2005-2022,Année,2
En quelle année a été réalisé Spider-Man- New Generation ?,2018,2007,2017,2016,,,Films 2005-2022,Année,2
En quelle année a été réalisé The Dark Knight Rises ?,2012,2007,2008,2013,,,Films 2005-2022,Année,2
En quelle année a été réalisé Top Gun- Maverick ?,2022,2007,2005,2011,,,Films 2005-2022,Année,2
En quelle année a été réalisé Joker ?,2019,2015,2018,2007,,,Films 2005-2022,Année,2
En quelle année a été réalisé Inglourious Basterds ?,2009,2022,2012,2010,,,Films 2005-2022,Année,2
En quelle année a été réalisé Coco ?,2017,2018,2007,2012,,,Films 2005-2022,Année,2
En quelle année a été réalisé Avengers- Endgame ?,2019,2013,2016,2010,,,Films 2005-2022,Année,2
En quelle année a été réalisé Your Name. ?,2016,2009,2011,2007,,,Films 2005-2022,Année,2
En quelle année a été réalisé Toy Story 3 ?,2010,2021,2005,2009,,,Films 2005-2022,Année,3
En quelle année a été réalisé 3 Idiots ?,2009,2007,2021,2019,,,Films 2005-2022,Année,3
En quelle année a été réalisé Capharnaüm ?,2018,2014,2011,2019,,,Films 2005-2022,Année,3
En quelle année a été réalisé La chasse ?,2012,2015,2006,2009,,,Films 2005-2022,Année,3
En quelle année a été réalisé Hamilton ?,2020,2021,2010,2017,,,Films 2005-2022,Année,3
En quelle année a été réalisé Là-haut ?,2009,2014,2020,2015,,,Films 2005-2022,Année,3
En quelle année a été réalisé Incendies ?,2010,2005,2007,2008,,,Films 2005-2022,Année,3
En quelle année a été réalisé Une séparation ?,2011,2021,2014,2008,,,Films 2005-2022,Année,3
En quelle année a été réalisé 1917 ?,2019,2011,2016,2013,,,Films 2005-2022,Année,3
En quelle année a été réalisé Taare Zameen Par ?,2007,2009,2021,2010,,,Films 2005-2022,Année,3
En quelle année a été réalisé Batman Begins ?,2005,2019,2018,2007,,,Films 2005-2022,Année,4
En quelle année a été réalisé Dangal ?,2016,2012,2010,2014,,,Films 2005-2022,Année,4
En quelle année a été réalisé The Father ?,2020,2005,2008,2018,,,Films 2005-2022,Année,4
En quelle année a été réalisé Green Book- Sur les routes du sud ?,2018,2010,2007,2017,,,Films 2005-2022,Année,4
En quelle année a été réalisé Le loup de Wall Street ?,2013,2016,2012,2018,,,Films 2005-2022,Année,4
En quelle année a été réalisé Le labyrinthe de Pan ?,2006,2010,2013,2022,,,Films 2005-2022,Année,4
En quelle année a été réalisé Spider-Man- No Way Home ?,2021,2009,2016,2020,,,Films 2005-2022,Année,4
En quelle année a été réalisé Shutter Island ?,2010,2008,2011,2017,,,Films 2005-2022,Année,4
En quelle année a été réalisé No Country for Old Men ?,2007,2017,2016,2013,,,Films 2005-2022,Année,4
En quelle année a été réalisé V pour vendetta ?,2005,2006,2009,2020,,,Films 2005-2022,Année,4
Qui a réalisé The Dark Knight - Le Chevalier noir ?,Christopher Nolan,Asghar Farhadi,Anthony Russo,Todd Phillips,,,Films 2005-2022,Producteur,1
Qui a réalisé Inception ?,Christopher Nolan,Bob Persichetti,Nadine Labaki,Todd Phillips,,,Films 2005-2022,Producteur,1
Qui a réalisé Interstellar ?,Christopher Nolan,Rajkumar Hirani,Quentin Tarantino,Bob Persichetti,,,Films 2005-2022,Producteur,1
Qui a réalisé Parasite ?,Bong Joon Ho,Rajkumar Hirani,Christopher Nolan,Bob Persichetti,,,Films 2005-2022,Producteur,1
Qui a réalisé Les infiltrés ?,Martin Scorsese,Lee Unkrich,Quentin Tarantino,Oliver Hirschbiegel,,,Films 2005-2022,Producteur,1
Qui a réalisé Le Prestige ?,Christopher Nolan,Lee Unkrich,Quentin Tarantino,Andrew Stanton,,,Films 2005-2022,Producteur,1
Qui a réalisé Whiplash ?,Damien Chazelle,Andrew Stanton,Christopher Nolan,Oliver Hirschbiegel,,,Films 2005-2022,Producteur,1
Qui a réalisé Intouchables ?,Olivier Nakache,Christopher Nolan,Makoto Shinkai,Quentin Tarantino,,,Films 2005-2022,Producteur,1
Qui a réalisé Django Unchained ?,Quentin Tarantino,Olivier Nakache,Christopher Nolan,Denis Villeneuve,,,Films 2005-2022,Producteur,1
